,id,date.entered,week,rank
0,1,2000-02-26,wk1,87.0
1,1,2000-02-26,wk2,82.0
2,1,2000-02-26,wk3,72.0
3,1,2000-02-26,wk4,77.0
4,1,2000-02-26,wk5,87.0
5,1,2000-02-26,wk6,94.0
6,1,2000-02-26,wk7,99.0
7,1,2000-02-26,wk8,
8,1,2000-02-26,wk9,
9,1,2000-02-26,wk10,
10,1,2000-02-26,wk11,
11,1,2000-02-26,wk12,
12,1,2000-02-26,wk13,
13,1,2000-02-26,wk14,
14,1,2000-02-26,wk15,
15,1,2000-02-26,wk16,
16,1,2000-02-26,wk17,
17,1,2000-02-26,wk18,
18,1,2000-02-26,wk19,
19,1,2000-02-26,wk20,
20,1,2000-02-26,wk21,
21,1,2000-02-26,wk22,
22,1,2000-02-26,wk23,
23,1,2000-02-26,wk24,
24,1,2000-02-26,wk25,
25,1,2000-02-26,wk26,
26,1,2000-02-26,wk27,
27,1,2000-02-26,wk28,
28,1,2000-02-26,wk29,
29,1,2000-02-26,wk30,
30,1,2000-02-26,wk31,
31,1,2000-02-26,wk32,
32,1,2000-02-26,wk33,
33,1,2000-02-26,wk34,
34,1,2000-02-26,wk35,
35,1,2000-02-26,wk36,
36,1,2000-02-26,wk37,
37,1,2000-02-26,wk38,
38,1,2000-02-26,wk39,
39,1,2000-02-26,wk40,
40,1,2000-02-26,wk41,
41,1,2000-02-26,wk42,
42,1,2000-02-26,wk43,
43,1,2000-02-26,wk44,
44,1,2000-02-26,wk45,
45,1,2000-02-26,wk46,
46,1,2000-02-26,wk47,
47,1,2000-02-26,wk48,
48,1,2000-02-26,wk49,
49,1,2000-02-26,wk50,
50,1,2000-02-26,wk51,
51,1,2000-02-26,wk52,
52,1,2000-02-26,wk53,
53,1,2000-02-26,wk54,
54,1,2000-02-26,wk55,
55,1,2000-02-26,wk56,
56,1,2000-02-26,wk57,
57,1,2000-02-26,wk58,
58,1,2000-02-26,wk59,
59,1,2000-02-26,wk60,
60,1,2000-02-26,wk61,
61,1,2000-02-26,wk62,
62,1,2000-02-26,wk63,
63,1,2000-02-26,wk64,
64,1,2000-02-26,wk65,
65,1,2000-02-26,wk66,
66,1,2000-02-26,wk67,
67,1,2000-02-26,wk68,
68,1,2000-02-26,wk69,
69,1,2000-02-26,wk70,
70,1,2000-02-26,wk71,
71,1,2000-02-26,wk72,
72,1,2000-02-26,wk73,
73,1,2000-02-26,wk74,
74,1,2000-02-26,wk75,
75,1,2000-02-26,wk76,
76,2,2000-09-02,wk1,91.0
77,2,2000-09-02,wk2,87.0
78,2,2000-09-02,wk3,92.0
79,2,2000-09-02,wk4,
80,2,2000-09-02,wk5,
81,2,2000-09-02,wk6,
82,2,2000-09-02,wk7,
83,2,2000-09-02,wk8,
84,2,2000-09-02,wk9,
85,2,2000-09-02,wk10,
86,2,2000-09-02,wk11,
87,2,2000-09-02,wk12,
88,2,2000-09-02,wk13,
89,2,2000-09-02,wk14,
90,2,2000-09-02,wk15,
91,2,2000-09-02,wk16,
92,2,2000-09-02,wk17,
93,2,2000-09-02,wk18,
94,2,2000-09-02,wk19,
95,2,2000-09-02,wk20,
96,2,2000-09-02,wk21,
97,2,2000-09-02,wk22,
98,2,2000-09-02,wk23,
99,2,2000-09-02,wk24,
100,2,2000-09-02,wk25,
101,2,2000-09-02,wk26,
102,2,2000-09-02,wk27,
103,2,2000-09-02,wk28,
104,2,2000-09-02,wk29,
105,2,2000-09-02,wk30,
